Wavelength[nm],AOI 9.65 deg
2382,99.5419
2381,99.54166
2380,99.5413
2379,99.5408
2378,99.54016
2377,99.53941
2376,99.53854
2375,99.53757
2374,99.53648
2373,99.53531
2372,99.53408
2371,99.53277
2370,99.53141
2369,99.53001
2368,99.52857
2367,99.52711
2366,99.52563
2365,99.52414
2364,99.52261
2363,99.5211
2362,99.51955
2361,99.51798
2360,99.51639
2359,99.51476
2358,99.51305
2357,99.51131
2356,99.50948
2355,99.50755
2354,99.50552
2353,99.5034
2352,99.50111
2351,99.49869
2350,99.49609
2349,99.49337
2348,99.49048
2347,99.48745
2346,99.48429
2345,99.48102
2344,99.47768
2343,99.47424
2342,99.47073
2341,99.46724
2340,99.46378
2339,99.46037
2338,99.45708
2337,99.45392
2336,99.45097
2335,99.44824
2334,99.4458
2333,99.44367
2332,99.44193
2331,99.44053
2330,99.43953
2329,99.43896
2328,99.43881
2327,99.43908
2326,99.43975
2325,99.44079
2324,99.4422
2323,99.44389
2322,99.44587
2321,99.44801
2320,99.45031
2319,99.45264
2318,99.45496
2317,99.45718
2316,99.45922
2315,99.46102
2314,99.46252
2313,99.46364
2312,99.46432
2311,99.46459
2310,99.46439
2309,99.4637
2308,99.46257
2307,99.461
2306,99.45905
2305,99.45679
2304,99.45426
2303,99.45154
2302,99.44868
2301,99.44575
2300,99.44274
2299,99.43966
2298,99.43639
2297,99.43282
2296,99.42867
2295,99.42358
2294,99.41702
2293,99.40829
2292,99.39647
2291,99.3804
2290,99.35867
2289,99.32945
2288,99.29068
2287,99.23982
2286,99.17394
2285,99.0896
2284,98.98293
2283,98.84949
2282,98.6843
2281,98.48186
2280,98.23621
2279,97.94077
2278,97.5886
2277,97.17232
2276,96.68431
2275,96.11675
2274,95.46185
2273,94.71193
2272,93.85966
2271,92.89836
2270,91.82209
2269,90.62397
2268,89.30195
2267,87.8539
2266,86.27926
2265,84.5793
2264,82.75715
2263,80.81781
2262,78.76811
2261,76.61661
2260,74.37341
2259,72.05181
2258,69.66256
2257,67.21883
2256,64.73431
2255,62.22274
2254,59.69777
2253,57.17256
2252,54.65962
2251,52.17054
2250,49.71596
2249,47.30078
2248,44.93801
2247,42.6347
2246,40.39676
2245,38.22884
2244,36.1346
2243,34.11661
2242,32.17658
2241,30.31543
2240,28.53336
2239,26.82997
2238,25.20443
2237,23.65547
2236,22.18153
2235,20.78079
2234,19.45127
2233,18.19084
2232,16.99731
2231,15.86843
2230,14.80193
2229,13.79484
2228,12.84567
2227,11.95215
2226,11.11204
2225,10.32314
2224,9.58326
2223,8.89024
2222,8.24194
2221,7.63628
2220,7.07115
2219,6.5439
2218,6.05323
2217,5.59717
2216,5.17376
2215,4.78113
2214,4.41744
2213,4.08088
2212,3.76974
2211,3.48235
2210,3.21711
2209,2.97255
2208,2.74715
2207,2.53952
2206,2.34835
2205,2.17242
2204,2.01056
2203,1.86168
2202,1.72476
2201,1.59885
2200,1.48308
2199,1.37642
2198,1.27835
2197,1.18815
2196,1.10518
2195,1.02883
2194,0.95855
2193,0.89383
2192,0.83421
2191,0.77926
2190,0.72858
2189,0.68182
2188,0.63865
2187,0.59876
2186,0.56189
2185,0.52778
2184,0.4962
2183,0.46694
2182,0.4398
2181,0.41462
2180,0.39123
2179,0.36949
2178,0.34925
2177,0.3304
2176,0.31283
2175,0.29643
2174,0.28111
2173,0.26678
2172,0.25337
2171,0.24079
2170,0.22899
2169,0.21787
2168,0.20742
2167,0.19758
2166,0.18829
2165,0.17952
2164,0.17123
2163,0.16338
2162,0.15593
2161,0.14886
2160,0.14214
2159,0.13574
2158,0.12964
2157,0.12382
2156,0.11826
2155,0.11294
2154,0.10784
2153,0.10295
2152,0.09827
2151,0.09377
2150,0.08945
2149,0.0853
2148,0.0813
2147,0.07746
2146,0.07377
2145,0.07022
2144,0.06682
2143,0.06354
2142,0.0604
2141,0.05739
2140,0.0545
2139,0.05174
2138,0.04909
2137,0.04656
2136,0.04414
2135,0.04184
2134,0.03964
2133,0.03755
2132,0.03556
2131,0.03368
2130,0.03189
2129,0.03019
2128,0.02858
2127,0.02706
2126,0.02562
2125,0.02426
2124,0.02298
2123,0.02177
2122,0.02063
2121,0.01956
2120,0.01855
2119,0.01759
2118,0.01669
2117,0.01585
2116,0.01505
2115,0.01431
2114,0.01361
2113,0.01296
2112,0.01235
2111,0.01178
2110,0.01124
2109,0.01074
2108,0.01027
2107,0.00983
2106,0.00941
2105,0.00902
2104,0.00866
2103,0.00831
2102,0.00799
2101,0.00769
2100,0.0074
2099,0.00713
2098,0.00688
2097,0.00664
2096,0.00641
2095,0.0062
2094,0.006
2093,0.00581
2092,0.00563
2091,0.00546
2090,0.0053
2089,0.00515
2088,0.00501
2087,0.00487
2086,0.00474
2085,0.00462
2084,0.0045
2083,0.00439
2082,0.00428
2081,0.00417
2080,0.00407
2079,0.00398
2078,0.00388
2077,0.00379
2076,0.0037
2075,0.00362
2074,0.00353
2073,0.00345
2072,0.00336
2071,0.00328
2070,0.0032
2069,0.00312
2068,0.00304
2067,0.00296
2066,0.00288
2065,0.0028
2064,0.00272
2063,0.00264
2062,0.00256
2061,0.00248
2060,0.0024
2059,0.00233
2058,0.00225
2057,0.00217
2056,0.00209
2055,0.00202
2054,0.00195
2053,0.00187
2052,0.0018
2051,0.00173
2050,0.00167
2049,0.0016
2048,0.00154
2047,0.00148
2046,0.00142
2045,0.00136
2044,0.0013
2043,0.00125
2042,0.0012
2041,0.00115
2040,0.00111
2039,0.00107
2038,0.00102
2037,0.00098
2036,0.00095
2035,0.00091
2034,0.00088
2033,0.00085
2032,0.00082
2031,0.00079
2030,0.00076
2029,0.00074
2028,0.00072
2027,0.0007
2026,0.00067
2025,0.00066
2024,0.00064
2023,0.00062
2022,0.00061
2021,0.00059
2020,0.00058
2019,0.00057
2018,0.00055
2017,0.00054
2016,0.00053
2015,0.00053
2014,0.00052
2013,0.00051
2012,0.0005
2011,0.0005
2010,0.00049
2009,0.00049
2008,0.00048
2007,0.00048
2006,0.00048
2005,0.00048
2004,0.00047
2003,0.00047
2002,0.00047
2001,0.00047
2000,0.00047
1999,0.00047
1998,0.00047
1997,0.00047
1996,0.00047
1995,0.00047
1994,0.00047
1993,0.00047
1992,0.00047
1991,0.00047
1990,0.00047
1989,0.00047
1988,0.00047
1987,0.00047
1986,0.00047
1985,0.00046
1984,0.00046
1983,0.00046
1982,0.00045
1981,0.00044
1980,0.00044
1979,0.00043
1978,0.00042
1977,0.00041
1976,0.0004
1975,0.00039
1974,0.00038
1973,0.00037
1972,0.00036
1971,0.00035
1970,0.00033
1969,0.00032
1968,0.00031
1967,0.0003
1966,0.00029
1965,0.00028
1964,0.00027
1963,0.00026
1962,0.00025
1961,0.00024
1960,0.00023
1959,0.00022
1958,0.00021
1957,0.0002
1956,0.00019
1955,0.00019
1954,0.00018
1953,0.00018
1952,0.00017
1951,0.00016
1950,0.00016
1949,0.00015
1948,0.00015
1947,0.00015
1946,0.00014
1945,0.00014
1944,0.00013
1943,0.00013
1942,0.00013
1941,0.00013
1940,0.00012
1939,0.00012
1938,0.00012
1937,0.00012
1936,0.00012
1935,0.00012
1934,0.00011
1933,0.00011
1932,0.00011
1931,0.00011
1930,0.00011
1929,0.00011
1928,0.00011
1927,0.00011
1926,0.00011
1925,0.00011
1924,0.00011
1923,0.00011
1922,0.00011
1921,0.00011
1920,0.00011
1919,0.00011
1918,0.00011
1917,0.00011
1916,0.00011
1915,0.00011
1914,0.00011
1913,0.00011
1912,0.00012
1911,0.00012
1910,0.00011
1909,0.00011
1908,0.00011
1907,0.00011
1906,0.00011
1905,0.00011
1904,0.00011
1903,0.0001
1902,0.0001
1901,0.0001
1900,0.0001
1899,0.00009
1898,0.00009
1897,0.00008
1896,0.00008
1895,0.00008
1894,0.00007
1893,0.00007
1892,0.00007
1891,0.00006
1890,0.00006
1889,0.00006
1888,0.00005
1887,0.00005
1886,0.00005
1885,0.00005
1884,0.00004
1883,0.00004
1882,0.00004
1881,0.00004
1880,0.00004
1879,0.00004
1878,0.00003
1877,0.00003
1876,0.00003
1875,0.00003
1874,0.00003
1873,0.00003
1872,0.00003
1871,0.00003
1870,0.00003
1869,0.00003
1868,0.00003
1867,0.00003
1866,0.00003
1865,0.00003
1864,0.00003
1863,0.00003
1862,0.00003
1861,0.00003
1860,0.00003
1859,0.00003
1858,0.00003
1857,0.00003
1856,0.00003
1855,0.00003
1854,0.00003
1853,0.00003
1852,0.00003
1851,0.00003
1850,0.00004
1849,0.00004
1848,0.00004
1847,0.00004
1846,0.00004
1845,0.00004
1844,0.00004
1843,0.00005
1842,0.00005
1841,0.00005
1840,0.00005
1839,0.00005
1838,0.00005
1837,0.00005
1836,0.00005
1835,0.00005
1834,0.00005
1833,0.00005
1832,0.00005
1831,0.00005
1830,0.00005
1829,0.00004
1828,0.00004
1827,0.00004
1826,0.00004
1825,0.00004
1824,0.00003
1823,0.00003
1822,0.00003
1821,0.00003
1820,0.00003
1819,0.00002
1818,0.00002
1817,0.00002
1816,0.00002
1815,0.00002
1814,0.00002
1813,0.00002
1812,0.00002
1811,0.00002
1810,0.00002
1809,0.00001
1808,0.00001
1807,0.00001
1806,0.00001
1805,0.00001
1804,0.00001
1803,0.00001
1802,0.00001
1801,0.00001
1800,0.00001
1799,0.00001
1798,0.00001
1797,0.00001
1796,0.00001
1795,0.00001
1794,0.00001
1793,0.00001
1792,0.00001
1791,0.00001
1790,0.00001
1789,0.00001
1788,0.00001
1787,0.00001
1786,0.00002
1785,0.00002
1784,0.00002
1783,0.00002
1782,0.00002
1781,0.00002
1780,0.00002
1779,0.00002
1778,0.00002
1777,0.00002
1776,0.00003
1775,0.00003
1774,0.00003
1773,0.00003
1772,0.00003
1771,0.00003
1770,0.00003
1769,0.00003
1768,0.00003
1767,0.00003
1766,0.00002
1765,0.00002
1764,0.00002
1763,0.00002
1762,0.00002
1761,0.00002
1760,0.00002
1759,0.00002
1758,0.00002
1757,0.00002
1756,0.00002
1755,0.00002
1754,0.00001
1753,0.00001
1752,0.00001
1751,0.00001
1750,0.00001
1749,0.00001
1748,0.00001
1747,0.00002
1746,0.00002
1745,0.00002
1744,0.00002
1743,0.00002
1742,0.00002
1741,0.00002
1740,0.00002
1739,0.00002
1738,0.00002
1737,0.00002
1736,0.00003
1735,0.00003
1734,0.00003
1733,0.00003
1732,0.00004
1731,0.00004
1730,0.00004
1729,0.00004
1728,0.00005
1727,0.00005
1726,0.00005
1725,0.00005
1724,0.00005
1723,0.00005
1722,0.00005
1721,0.00005
1720,0.00005
1719,0.00005
1718,0.00005
1717,0.00005
1716,0.00005
1715,0.00004
1714,0.00004
1713,0.00004
1712,0.00004
1711,0.00004
1710,0.00004
1709,0.00004
1708,0.00004
1707,0.00004
1706,0.00004
1705,0.00004
1704,0.00003
1703,0.00003
1702,0.00003
1701,0.00003
1700,0.00003
1699,0.00003
1698,0.00003
1697,0.00003
1696,0.00003
1695,0.00003
1694,0.00003
1693,0.00003
1692,0.00003
1691,0.00003
1690,0.00003
1689,0.00002
1688,0.00002
1687,0.00002
1686,0.00002
1685,0.00002
1684,0.00002
1683,0.00002
1682,0.00002
1681,0.00002
1680,0.00002
1679,0.00002
1678,0.00002
1677,0.00002
1676,0.00002
1675,0.00002
1674,0.00002
1673,0.00002
1672,0.00002
1671,0.00002
1670,0.00002
1669,0.00002
1668,0.00002
1667,0.00002
1666,0.00002
1665,0.00002
1664,0.00002
1663,0.00002
1662,0.00002
1661,0.00002
1660,0.00002
1659,0.00002
1658,0.00002
1657,0.00002
1656,0.00002
1655,0.00002
1654,0.00002
1653,0.00002
1652,0.00002
1651,0.00002
1650,0.00002
1649,0.00002
1648,0.00002
1647,0.00002
1646,0.00002
1645,0.00002
1644,0.00002
1643,0.00002
1642,0.00002
1641,0.00002
1640,0.00001
1639,0.00001
1638,0.00001
1637,0.00001
1636,0.00001
1635,0.00001
1634,0.00001
1633,0.00001
1632,0.00001
1631,0.00001
1630,0.00001
1629,0.00001
1628,0.00001
1627,0.00001
1626,0.00001
1625,0.00001
1624,0.00001
1623,0.00001
1622,0.00001
1621,0.00001
1620,0.00001
1619,0.00001
1618,0.00001
1617,0.00001
1616,0.00001
1615,0.00001
1614,0.00001
1613,0
1612,0
1611,0
1610,0
1609,0
1608,0
1607,0
1606,0
1605,0
1604,0
1603,0
1602,0
1601,0
1600,0
1599,0
1598,0
1597,0
1596,0
1595,0
1594,0
1593,0
1592,0
1591,0
1590,0
1589,0
1588,0
1587,0
1586,0
1585,0
1584,0
1583,0
1582,0
1581,0
1580,0
1579,0
1578,0
1577,0
1576,0
1575,0
1574,0
1573,0
1572,0
1571,0
1570,0
1569,0
1568,0
1567,0
1566,0
1565,0
1564,0
1563,0
1562,0
1561,0
1560,0
1559,0
1558,0
1557,0
1556,0
1555,0
1554,0
1553,0
1552,0
1551,0
1550,0
1549,0
1548,0
1547,0
1546,0
1545,0
1544,0
1543,0
1542,0
1541,0
1540,0
1539,0
1538,0
1537,0
1536,0
1535,0
1534,0
1533,0
1532,0
1531,0
1530,0
1529,0
1528,0
1527,0
1526,0
1525,0
1524,0
1523,0
1522,0
1521,0
1520,0
1519,0
1518,0
1517,0
1516,0
1515,0
1514,0
1513,0
1512,0
1511,0
1510,0
1509,0
1508,0
1507,0
1506,0
1505,0
1504,0
1503,0
1502,0
1501,0
1500,0
1499,0
1498,0
1497,0
1496,0
1495,0
1494,0
1493,0
1492,0
1491,0
1490,0
1489,0
1488,0
1487,0
1486,0
1485,0
1484,0
1483,0
1482,0
1481,0
1480,0
1479,0
1478,0
1477,0
1476,0
1475,0
1474,0
1473,0
1472,0
1471,0
1470,0
1469,0
1468,0
1467,0
1466,0
1465,0
1464,0
1463,0
1462,0
1461,0
1460,0
1459,0
1458,0
1457,0
1456,0
1455,0
1454,0
1453,0
1452,0
1451,0
1450,0
1449,0
1448,0
1447,0
1446,0
1445,0
1444,0
1443,0
1442,0
1441,0
1440,0
1439,0
1438,0
1437,0
1436,0
1435,0
1434,0
1433,0
1432,0
1431,0
1430,0
1429,0
1428,0
1427,0
1426,0
1425,0
1424,0
